text,intent
"Onde faço a extração do dente siso? 
",bias
Onde faço limpeza ou aplicação de flúor?,bias
Onde faço a extração do dente queiro?,bias
dentequeiro,bias
dente do juízo,bias
Onde faço tratamento da gengiva?,bias
Onde faço Raio X,bias
RX,bias
Onde faço restaurações?,bias
restauração,bias
obturação,bias
Onde faço canal?,bias
Onde faço extração de dente?,bias
Onde tem atendimento para criança?,bias
atendimento para meu filho menor de idade,bias
Onde coloco ou instalo aparelho?,bias
Onde faço manutenção do aparelho?,bias
onde tem dentista para tirar o siso?,bias
Onde faço ortodontia,bias
onde coloco aparelho?,bias
Onde faço manutenção do aparelho?,bias
Onde faço ortodontia,bias
onde coloco aparelho?,bias
preciso arrancar um quero,bias
preciso arrancar um queiro,bias
estou precisando fazer um procedimento que envolve exodontia,bias
