text,intent
"Onde faço a extração do dente siso? 
",exodontia
Onde faço limpeza ou aplicação de flúor?,diagnostico
Onde faço a extração do dente queiro?,exodontia
dentequeiro,exodontia
dente do juízo,exodontia
Onde faço tratamento da gengiva?,periodontia
Onde faço Raio X,radiologia
RX,radiologia
Onde faço restaurações?,dentistica
restauração,dentistica
obturação,dentistica
Onde faço canal?,endodontia
Onde faço extração de dente?,exodontia
Onde tem atendimento para criança?,odontopediatria
atendimento para meu filho menor de idade,odontopediatria
Onde coloco ou instalo aparelho?,ortodontia
Onde faço manutenção do aparelho?,ortodontia
onde tem dentista para tirar o siso?,exodontia
Onde faço ortodontia,ortodontia
onde coloco aparelho?,ortodontia
Onde faço manutenção do aparelho?,ortodontia
Onde faço ortodontia,ortodontia
onde coloco aparelho?,ortodontia
preciso arrancar um quero,exodontia
preciso arrancar um queiro,exodontia
estou precisando fazer um procedimento que envolve exodontia,exodontia
